"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID","DEFAULT_LENGTH","DATA_DEFAULT"
"AD_ACADEMIC_SESSION","SESSION_ID","NUMBER",22,,,"N",1,,
"AD_ACADEMIC_SESSION","SESSION_NAME","VARCHAR2",50,,,"Y",2,,
"AD_COURSE_DETAILS","COURSE_ID","NUMBER",22,,,"N",1,,
"AD_COURSE_DETAILS","COURSE_NAME","VARCHAR2",50,,,"Y",2,,
"AD_COURSE_DETAILS","SESSION_ID","NUMBER",22,,,"Y",3,,
"AD_COURSE_DETAILS","DEPARTMENT_ID","NUMBER",22,,,"Y",4,,
"AD_DEPARTMENTS","DEPARTMENT_ID","NUMBER",22,,,"N",1,,
"AD_DEPARTMENTS","DEPARTMENT_NAME","VARCHAR2",50,,,"Y",2,,
"AD_DEPARTMENTS","HOD","VARCHAR2",50,,,"Y",3,,
"AD_EXAM_DETAILS","EXAM_ID","NUMBER",22,,,"N",1,,
"AD_EXAM_DETAILS","EXAM_TYPE","VARCHAR2",50,,,"N",2,,
"AD_EXAM_DETAILS","START_DATE","DATE",7,,,"Y",3,,
"AD_EXAM_DETAILS","NAME","VARCHAR2",50,,,"Y",4,,
"AD_EXAM_RESULTS","STUDENT_ID","NUMBER",22,,,"Y",1,,
"AD_EXAM_RESULTS","EXAM_ID","NUMBER",22,,,"Y",2,,
"AD_EXAM_RESULTS","COURSE_ID","NUMBER",22,,,"Y",3,,
"AD_EXAM_RESULTS","MARKS","NUMBER",22,,,"Y",4,,
"AD_EXAM_TYPE","EXAM_TYPE","VARCHAR2",50,,,"N",1,,
"AD_EXAM_TYPE","EXAM_NAME","VARCHAR2",50,,,"Y",2,,
"AD_EXAM_TYPE","EXAM_DESC","VARCHAR2",50,,,"Y",3,,
"AD_FACULTY_COURSE_DETAILS","FACULTY_ID","NUMBER",22,,,"Y",1,,
"AD_FACULTY_COURSE_DETAILS","COURSE_ID","NUMBER",22,,,"Y",2,,
"AD_FACULTY_DETAILS","FACULTY_ID","NUMBER",22,6,0,"N",1,,
"AD_FACULTY_DETAILS","FIRST_NAME","VARCHAR2",20,,,"Y",2,,
"AD_FACULTY_DETAILS","LAST_NAME","VARCHAR2",25,,,"N",3,,
"AD_FACULTY_DETAILS","EMAIL","VARCHAR2",25,,,"N",4,,
"AD_FACULTY_DETAILS","PHONE_NUMBER","VARCHAR2",20,,,"Y",5,,
"AD_FACULTY_DETAILS","HIRE_DATE","DATE",7,,,"N",6,,
"AD_FACULTY_DETAILS","JOB_ID","VARCHAR2",10,,,"N",7,,
"AD_FACULTY_DETAILS","SALARY","NUMBER",22,8,2,"Y",8,,
"AD_FACULTY_LOGIN_DETAILS","FACULTY_ID","NUMBER",22,,,"Y",1,,
"AD_FACULTY_LOGIN_DETAILS","LOGIN_DATE","DATE",7,,,"Y",2,8,"SYSDATE "
"AD_FACULTY_LOGIN_DETAILS","LOGIN_TIME","DATE",7,,,"Y",3,,
"AD_FACULTY_LOGIN_DETAILS","DETAILS","VARCHAR2",50,,,"Y",4,,
"AD_JOBS","JOB_ID","VARCHAR2",10,,,"N",1,,
"AD_JOBS","JOB_TITLE","VARCHAR2",35,,,"N",2,,
